"","taxi_no","avg_fare_per_trip","total_fare"
"426","B59F75",2.76,16.56
"427","BGS546",2.66181818181818,29.28
"428","BKZ535",2.72,24.48
"429","B10G32",2.56,23.04
"430","B52D65",12.832,128.32
"431","B49X66",2.76,22.08
"432","B183F6",2.76,27.6
"433","BBQ996",2.72,24.48
"434","BWG722",2.60571428571429,18.24
"435","BFZ872",2.67,21.36
"436","BKQ048",2.58,30.96
"437","B63Z25",2.70857142857143,18.96
"438","B59E88",12.76,102.08
"439","B13K88",2.832,28.32
"440","B66A97",2.66181818181818,29.28
"441","B14F23",2.60571428571429,18.24
"442","B11K86",2.76,22.08
"443","B04R91",2.76,16.56
"444","B441E3",2.832,28.32
"445","B06F03",2.86588235294118,48.72
"446","BFH830",12.7,152.4
"447","BKP502",2.72,24.48
"448","B11K35",2.72,24.48
"449","BGC410",2.8,25.2
"450","BGS893",2.8,25.2
"451","B72F46",2.76,22.08
"452","BLS880",2.72,24.48
"453","B89E31",2.7,32.4
"454","B34W52",12.85,102.8
"455","B49X26",2.805,44.88
"456","BWG962",2.832,28.32
"457","B05K42",2.79272727272727,30.72
"458","B529A6",2.88,8.64
"459","B06R23",2.46545454545455,27.12
"460","B795E2",2.688,13.44
"461","BBU923",2.88,8.64
"462","BGC437",2.784,41.76
"463","BGN040",2.72,24.48
"464","B43W10",2.76,16.56
"465","BFE053",2.76,5.52
"466","BKZ689",2.70857142857143,18.96
"467","B59E68",12.736,191.04
"468","B47U20",3,36
"469","BGA152",2.49,19.92
"470","B83E36",2.64,15.84
"471","B67G56",2.64,31.68
"472","BPK443",2.67,21.36
"473","BGD746",2.82,33.84
"474","BHE327",2.76,33.12
"475","B63N86",12.7927272727273,140.72
"476","B34G39",2.94,11.76
"477","B50E67",12.688,126.88
"478","B20P43",12.7811764705882,217.28
"479","B40P11",12.7876923076923,166.24
"480","BWG952",2.58,20.64
"481","B45U70",2.76,22.08
"482","B49V06",2.85,22.8
"483","B04K25",2.70857142857143,18.96
"484","B43V79",2.73230769230769,35.52
"485","B48W45",2.53090909090909,27.84
"486","B53K18",2.84307692307692,36.96
"487","B083E6",2.76,44.16
"488","B51K61",2.58,20.64
"489","BUC533",2.70857142857143,18.96
"490","B53E52",13.12,13.12
"491","B836E9",2.60571428571429,18.24
"492","B751E5",2.832,14.16
"493","BBU091",12.82,153.84
"494","B70A33",2.59636363636364,28.56
"495","B553E2",2.82,33.84
"496","BGU441",2.94,23.52
"497","B44G65",2.66181818181818,29.28
"498","BLS835",2.85,22.8
"499","B75E62",2.59636363636364,28.56
"500","B11G59",2.8,25.2
"501","BWF517",3.12,12.48
"502","B674E7",2.8,25.2
"503","B67U61",2.868,57.36
"504","BWG953",2.84307692307692,36.96
"505","B830E6",2.64,15.84
"506","B837E1",2.76,22.08
"507","B19E31",2.70857142857143,18.96
"508","B53K23",2.59636363636364,28.56
"509","B784E6",2.64,31.68
"510","B38G61",2.76,44.16
"511","B10S61",12.9142857142857,90.4
"512","B32D47",12.7927272727273,140.72
"513","B867D0",12.76,76.56
"514","B88W90",2.49,19.92
"515","B19E23",2.85,22.8
"516","B04G55",2.76,27.6
"517","B13N22",2.88,34.56
"518","BGG656",2.784,41.76
"519","B68G15",2.976,29.76
"520","BBY551",2.67,21.36
"521","BWF548",2.70857142857143,37.92
"522","B20U60",2.66181818181818,29.28
"523","B42U41",2.85818181818182,31.44
"524","BBY602",2.64,15.84
"525","B38G91",2.76,27.6
"526","BX228T",12.616,126.16
"527","B45A70",12.8,115.2
"528","B28F55",2.85818181818182,31.44
"529","BKQ075",2.544,25.44
"530","B78X13",2.66181818181818,29.28
"531","B414B7",12.85,102.8
"532","BTV432",3.12,15.6
"533","B54W15",2.784,41.76
"534","B95E42",2.82,33.84
"535","B55X83",2.88,17.28
"536","B54X51",2.76,16.56
"537","BWF595",2.78769230769231,36.24
"538","B174F8",2.72,24.48
"539","B88W80",2.58,10.32
"540","BBP951",12.976,64.88
"541","BYV305",3.00857142857143,21.06
"542","B13K93",2.85,22.8
"543","BWG062",2.46545454545455,27.12
"544","B37G83",2.64,31.68
"545","B90P11",2.616,26.16
"546","B11S78",12.76,127.6
"547","B425E3",2.688,26.88
"548","B49V35",2.64,23.76
"549","B55X65",2.62153846153846,34.08
"550","B67G53",2.90823529411765,49.44
"551","BGG650",2.62153846153846,34.08
"552","B63U42",2.64,31.68
"553","B13K26",2.616,26.16
"554","B11G63",2.64,7.92
"555","B18F76",2.65714285714286,37.2
"556","B25K11",2.832,14.16
"557","B49F88",2.65714285714286,37.2
"558","B85R36",2.94,23.52
"559","B54W05",2.616,26.16
"560","B25V05",12.76,127.6
"561","BGS621",2.7,32.4
"562","BGA073",2.76,16.56
"563","BTV346",2.72727272727273,30
"564","BBQ187",13.12,39.36
"565","B41W52",2.616,26.16
"566","B74V56",12.58,150.96
"567","BBT248",2.976,29.76
"568","B665D8",2.76,27.6
"569","B73W42",2.7,32.4
"570","B47E49",12.76,76.56
"571","B76F52",2.76,27.6
"572","BWG922",2.832,28.32
"573","BBQ145",13.12,13.12
"574","B67E87",2.74105263157895,52.08
"575","B54G63",2.72727272727273,30
"576","BKQ095",2.67692307692308,34.8
"577","B06F69",2.72727272727273,30
"578","BHA375",2.76,33.12
"579","B82P47",2.82,33.84
"580","B52K02",2.832,42.48
"581","B30M96",2.724,54.48
"582","B70A56",2.67,21.36
"583","BTV625",2.49,19.92
"584","BBQ746",2.70857142857143,18.96
"585","BFZ488",2.66181818181818,29.28
"586","BBS139",2.688,13.44
"587","B83E62",2.85,22.8
"588","B62E23",2.82,33.84
"589","B472D5",3.12,3.12
"590","B89E85",3.12,12.48
"591","B29R12",12.8114285714286,89.68
"592","BKT960",3.12,6.24
"593","B05P30",2.60571428571429,18.24
"594","B147A0",2.88,17.28
"595","B11G92",2.70857142857143,37.92
"596","B56E95",2.70857142857143,18.96
"597","B19G63",2.688,13.44
"598","B36G06",2.67,21.36
"599","BBQ947",2.76,33.12
"600","B14F11",2.8,25.2
"601","BBU827",2.76,38.64
"602","B19G61",2.91428571428571,20.4
"603","B70A50",2.89846153846154,37.68
"604","B19G00",2.70857142857143,18.96
"605","B72E98",2.94,11.76
"606","B02T62",2.82,33.84
"607","BLS845",2.70857142857143,18.96
"608","BGU886",2.76,33.12
"609","BTV281",2.544,25.44
"610","B01T45",2.688,13.44
"611","B47U69",2.616,26.16
"612","B18F53",2.832,14.16
"613","B79A17",2.736,41.04
"614","B25W89",2.7,32.4
"615","B85W29",2.688,13.44
"616","B10G76",2.81142857142857,39.36
"617","B694E1",2.66181818181818,29.28
"618","B35F40",2.64,23.76
"619","BJE057",2.544,12.72
"620","B56L51",2.976,14.88
"621","B11G32",2.60571428571429,18.24
"622","B71A71",2.60571428571429,18.24
"623","B83W83",2.76,33.12
"624","BWG235",2.616,26.16
"625","B90P59",2.688,13.44
"626","B17F81",2.64,23.76
"627","B63Z23",2.64,23.76
"628","BTV888",2.81142857142857,39.36
"629","BFJ116",12.94,103.52
"630","BFZ557",2.76,16.56
"631","B61E09",2.76,33.12
"632","B18K81",2.688,26.88
"633","B72W22",12.904,129.04
"634","B24F48",2.60571428571429,18.24
"635","B81B03",2.63666666666667,15.82
"636","BGS689",2.79272727272727,30.72
"637","BWG065",2.616,26.16
"638","BBY702",2.60571428571429,18.24
"639","B75F46",2.85818181818182,31.44
